Config,Family,Scheme,PRG_Size_RB,Precoding_Mode,CE_Mode,Precoding_Basis,DMRS_Pattern,N_Coarse_SSB,N_Fine_Beams,Channel_Model,CDL_Type,SNR(dB),BLER
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-17.0,0.5319148936170213
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-16.0,0.43
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-15.0,0.33
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-14.0,0.23
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-13.0,0.14
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-12.0,0.13
Ideal reference: 8-ant fine beam exactly centered at SSB qh_c,array_based,array_centered_fine,48,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-11.0,0.05
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-25.0,1.0
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-24.0,1.0
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-23.0,0.9615384615384616
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-22.0,0.9615384615384616
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-21.0,0.9433962264150944
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-20.0,0.78125
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-19.0,0.5747126436781609
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-18.0,0.6097560975609756
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-17.0,0.46
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-16.0,0.3
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-15.0,0.25
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-14.0,0.16
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-13.0,0.09
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-12.0,0.07
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-11.0,0.03
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-25.0,1.0
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-24.0,1.0
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-23.0,1.0
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-22.0,1.0
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-21.0,0.9615384615384616
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-20.0,0.9090909090909091
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-19.0,0.6410256410256411
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-18.0,0.704225352112676
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-17.0,0.5555555555555556
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-16.0,0.41
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-15.0,0.26
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-14.0,0.18
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-13.0,0.05
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-12.0,0.11
"Comb-DMRS aligned: centered precoding states [1,1]/[1,j]",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,-11.0,0.02
